date,tplb,d2m,u10,v10,t2m,sst,sp
2020/1/10 11:00,369.7972418,295.5612559,-4.298957508,-4.651069843,298.8271612,299.442986,101072.6299
2020/1/10 12:00,372.9433376,295.5674727,-4.345939916,-4.646035488,298.7936782,299.4431282,101093.2707
2020/1/10 13:00,379.7415067,295.5766456,-4.416977568,-4.605538801,298.7580697,299.4433481,101110.3551
2020/1/10 14:00,385.8462696,295.585246,-4.495832408,-4.544663,298.7182124,299.4436894,101121.1015
2020/1/10 15:00,391.1669398,295.5912312,-4.572473052,-4.469907214,298.6746703,299.4442205,101121.261
2020/1/10 16:00,393.6152641,295.5939762,-4.645404737,-4.402720242,298.6270668,299.4450476,101113.9942
2020/1/10 17:00,390.068911,295.5927974,-4.708969009,-4.350543097,298.5806014,299.4463362,101101.0719
2020/1/10 18:00,380.7807837,295.5886592,-4.762311079,-4.324203791,298.537938,299.4483439,101086.5668
2020/1/10 19:00,366.1624115,295.5819773,-4.807651422,-4.315882358,298.5082462,299.4514723,101074.7746
2020/1/10 20:00,351.534062,295.5735946,-4.839245823,-4.309892938,298.4947369,299.456347,101070.7035
2020/1/10 21:00,337.7844701,295.5633111,-4.853704666,-4.298036014,298.5016572,299.4639431,101076.339
2020/1/10 22:00,323.8595412,295.5494233,-4.824365159,-4.281753609,298.5279632,299.4757796,101091.3815
2020/1/10 23:00,309.5911044,295.5372361,-4.804002694,-4.263459386,298.5689535,299.4833749,101110.7092
2020/1/11 0:00,293.2332424,295.525141,-4.769358102,-4.234845165,298.6276155,299.488248,101132.2223
2020/1/11 1:00,277.2490637,295.5126765,-4.706322642,-4.195602738,298.7002669,299.4913735,101149.3601
2020/1/11 2:00,262.958868,295.5021322,-4.598198439,-4.162862781,298.7762377,299.4933766,101156.9462
2020/1/11 3:00,251.4623019,295.4939611,-4.441898934,-4.154734242,298.8387271,299.4946578,101146.7947
2020/1/11 4:00,242.2280306,295.4877615,-4.251168734,-4.174581015,298.886301,299.4954733,101122.4299
2020/1/11 5:00,233.2421951,295.4829543,-4.042517112,-4.225068032,298.9172297,299.4959864,101088.5318
2020/1/11 6:00,224.2367952,295.4821354,-3.839723877,-4.302709429,298.933609,299.4962995,101053.0144
2020/1/11 7:00,216.4224148,295.4868877,-3.668696791,-4.411315715,298.9385515,299.4964754,101027.1376
2020/1/11 8:00,208.4797322,295.4947364,-3.540559538,-4.532843412,298.9296123,299.4965492,101017.0036
2020/1/11 9:00,201.7434185,295.5024065,-3.451338546,-4.657625275,298.9053024,299.4965357,101021.5607
2020/1/11 10:00,198.0501571,295.5022206,-3.383250297,-4.767652225,298.8637943,299.4964322,101035.0331
2020/1/11 11:00,197.199223,295.5076746,-3.372439821,-4.877465504,298.8120016,299.4962179,101052.123
2020/1/11 12:00,199.4230484,295.51196,-3.399379178,-4.978404233,298.7571918,299.49585,101073.2745
2020/1/11 13:00,202.8916183,295.5098645,-3.441542759,-5.060440216,298.6969012,299.4952549,101092.9712
